Reporter Identifier	VALUE	S_N_P/4a-1_OKhymenets_220905
103252	5600.89	18.36
103254	270.83	-0.19
103259	710.35	-0.01
103260	207.65	1.58
103264	3423.03	14.06
103269	180.48	0.65
103271	496.14	1.94
103273	1038.1	3.44
103279	2871.07	9.56
103288	771.12	-1.16
103291	18382.01	72.27
103297	108.81	-0.88
103301	1200.13	4.36
103305	487.35	0.69
103306	2575.69	13.29
103310	365.28	0.36
103318	835.74	0.2
103331	783.54	1.58
103341	10965.8	18.03
103342	1900.76	4.36
103344	859.49	2.8
103350	43596.06	13.13
103355	279.73	1.25
103357	49331.85	55.58
103366	80524.36	91.14
103367	308.84	0.73
103382	5994.61	25.22
103384	11876.9	44.06
103392	12236.34	30.13
103394	2568.24	5.76
103395	5750.13	27.37
103396	412.18	2.01
103401	1640.48	11.58
103403	263.79	0.52
103404	5017.59	2.59
103406	5529.15	28.93
103409	15917.96	58.61
103413	46731.67	60.43
103415	61840.57	55.55
103418	14559.43	53.72
103423	13373.04	55.79
103430	16168.73	47.46
103431	1662.28	3.22
103434	241.64	0.79
103435	5846.42	29.94
10343858	1124.79	3.01
103440	222.14	-1.56
103441	6680.71	40.07
103444	1455.91	2.62
103446	17445.32	48.65
103451	13087.95	49.2
103457	3222.47	10.99
103458	1887.04	0.35
103461	10096.43	17.59
103463	7584.3	38.26
103465	185625.34	103.65
103467	243.82	-0.01
103468	3619.93	9.05
103474	3334.89	12.62
103475	983.46	3.81
103476	7892.76	18.92
103481	7162.52	31.55
103491	41965.25	74.02
103492	210.24	1.09
103516	5997.97	13.84
10351750	330.05	-1.57
103520	1468.63	10.37
103522	12284.21	28.42
103524	819.25	1.93
10353180	159.38	0.9
103532	347.52	0.59
103536	301.12	0.7
103537	2406.46	7.84
103547	268.58	0.11
103552	134.56	1.15
103553	4807.14	8.08
103554	180.26	0.34
10355470	2101.85	10.17
103558	456.12	-0.84
103562	1034.6	-0.64
103563	447.23	0.55
103564	348.61	1.73
103567	1065.08	5.96
103579	4924.51	19.98
10357919	352.5	-0.15
103585	21164.27	68.57
103586	373.65	-0.08
103587	392466.52	95.56
103589	5975.77	13.93
103604	23255.05	50.68
103612	2490.61	5.7
103613	636.93	2.65
103617	6378.27	20.13
103618	454.5	0.96
103624	386419.68	78.81
103625	73466.01	43.64
103626	237.38	0.41
103627	221.11	-0.09
103640	419.38	0.23
103641	38690.82	74.8
103642	3085.81	11.23
103644	730.18	2.16
103651	449.55	1.31
103654	255.97	-0.15
103659	222.54	-0.99
103665	1764.74	6.96
103666	1026.44	2.87
103677	1187.21	4.75
103678	3192.22	13.74
103682	40222.36	71.63
103690	7194.8	29.51
103693	7473.88	35.35
103694	60635.73	117.14
103696	212.33	0.68
10370245	616.07	2.25
103703	365.38	2.98
103705	5669.79	20.21
103717	10271.75	52.94
103718	2353	11.01
103719	5326.33	31.72
103720	5974.62	25.3
103726	430325.09	81.82
103729	498.45	0.6
103744	454.95	0.78
103746	1446.44	5.88
103752	368.12	2.65
103754	11954.19	47.41
10375855	1821.89	9.7
103764	255.09	0.79
103769	619.69	4.02
103775	317.43	-2.19
103778	156.75	-0.17
103779	492.21	3.28
103786	1095.43	6.07
103792	301.91	0.93
103793	3514.93	8.36
103795	2937.57	3.5
103802	308.5	-1.96
103805	2556.75	9.72
103806	416.4	2.27
103809	1457.76	6.23
103810	51257.05	91.95
103813	363.1	2.14
103822	6065.86	1.86
103824	1417.46	2.55
103829	389.62	1.1
103831	252.74	1.8
103843	8680	33.58
10384403	592.11	1.99
103846	3637.88	14.01
103851	8043.23	24.96
103866	214.05	0.07
103867	18934.95	46.71
103870	2408.56	11.57
103875	2269.3	12.51
103876	467.83	1.78
103877	449.41	1.68
103883	2493.61	9.24
103885	225.59	-0.95
103888	432.63	1.65
103892	698.28	3.56
103896	1305.64	6.52
103907	2699.95	18.96
103910	23496.8	88.97
10391124	218.52	0.59
103913	242.07	1.01
103918	710.06	2.17
103919	5394.21	20.59
103920	341.07	-0.31
103921	262.24	-1.94
103928	40083.03	48.01
103931	26337.56	17.58
103944	3335.74	16.43
103950	3892.61	10.24
103958	454.21	3
103964	837.55	3.75
103970	4786.4	19.65
103975	213.86	-0.84
103976	2049.01	15.18
103999	89591.22	92.05
10400392	12458.44	58.94
104009	2536.84	20.56
104013	1300.98	1.64
104031	430.16	-1.39
104032	671.37	2.46
104033	449.88	-1.37
104036	774.43	4.83
104040	527.51	1.07
104054	55364.72	90.07
104057	18897.78	78.05
104059	19412.35	35.1
104062	1061.82	7.58
104079	3536.24	8.17
104080	156.77	0.13
104081	288.64	-0.16
10409147	843.06	2.14
104096	13239.78	34.69
104099	343.54	0.87
104102	835.35	3.38
10410414	711.59	1.72
104105	218.74	0.31
104108	267.41	0.86
10411442	596.86	0.33
104115	32664.65	77.43
104116	3200.04	8.17
104119	138.77	-0.52
104123	638.4	1.84
104128	2033.82	5.32
104131	64330.71	99.75
104139	6220.05	26.35
104140	53168.95	63.2
104142	4019.76	21.8
104153	272.14	-0.58
104157	7026.85	40.98
104158	423.08	1.45
104166	5537.08	32.36
104172	1253.71	6.09
104186	1350.33	6.6
104189	3411.89	9.63
10419000	24972.25	67.94
104193	130206.24	53.09
104196	580058.86	82.7
104200	11470.51	53.49
104202	167.22	-2.57
104207	1362.32	6.54
104213	19074.83	69.29
104215	168.67	-0.75
104218	139.37	-0.43
104220	11125.49	42.45
104225	13804.49	40.97
10423512	2916.82	9.91
104237	7469.74	22.13
104240	1466.27	5.07
104245	31315.44	32.65
104251	192.16	-0.15
104254	9776.2	44.28
104259	6167.43	26.45
104260	44958.17	49
104268	419.96	1.42
10426832	1010.16	7.09
104271	589.35	1.84
104273	405.35	0.16
104275	4724.14	18.23
104276	23177.83	26.12
104280	17688.87	63.85
10428338	2605.37	15.05
104287	1832.55	3.33
104292	8578.83	26.33
104293	9616.23	36.62
104294	342.24	1.19
104309	17800.96	27.64
104310	1697.5	6.33
104322	1184.18	6.03
104328	454.75	-0.61
104331	2719.55	16.92
104341	673940	100
104346	5629.36	19.37
104347	732.66	2.09
10434918	339.7	-0.21
104350	9911.7	49.66
104351	752.73	3.66
104353	503.78	0.77
104356	3386.52	0.25
104360	15785.63	43.72
104371	316.82	1.24
104372	13919.72	43.25
104377	22790.78	59.43
104379	291.77	-0.23
104384	98813.23	85.91
