Probe_ID	Gene_ID	Signal_P/2a-3_OKhymenets_220905	SDEV_P/2a-3_OKhymenets_220905	CV_P/2a-3_OKhymenets_220905	S_N_P/2a-3_OKhymenets_220905	Flags_P/2a-3_OKhymenets_220905	Assay_Normalized_Signal_P/2a-3_OKhymenets_220905	Row_P/2a-3_OKhymenets_220905	Column_P/2a-3_OKhymenets_220905	X_P/2a-3_OKhymenets_220905	Y_P/2a-3_OKhymenets_220905	CL_Sig_P/2a-3_OKhymenets_220905	CL_Sig_Error_P/2a-3_OKhymenets_220905	CL_Raw_P/2a-3_OKhymenets_220905	CL_Raw_SDEV_P/2a-3_OKhymenets_220905	Image_Area_P/2a-3_OKhymenets_220905
146324	hCG1756726.3	177.6	177.6	9.15	-0.11	1	0.12	166	27	475.59	879.38	-247.64	184.05	10254.96	0	2
146328	hCG1782396.1	49408.08	494.43	0.04	99.93	0	30.94	45	46	676.3	865.57	53716.12	314.36	65626.81	0	1
146329	hCG19630.3	412.97	185.72	0.45	2.22	0	0.28	149	112	1380.68	694.91	225.57	172.11	9963.92	0	2
146330	hCG1989969	153075.92	2753.31	0.04	55.6	0	105.25	147	79	1029.87	674.74	167346.04	397.73	184656.78	0	2
146331	hCG1770400.1	29538.14	950.52	0.05	31.08	0	20.31	174	111	1369.58	961.08	23877.23	227	35567.8	0	2
146332	hCG2000917.1	1702.41	850.17	0.5	2	0	1.07	44	52	740.04	855.02	1802.31	342.66	16720.79	0	1
146341	hCG30294.3	6171.31	424.74	0.08	14.53	0	3.86	27	1	197.76	675.82	6110.02	245.16	16421.59	0	1
146353	hCG1997566	15642.72	296.47	0.05	52.76	0	9.8	31	61	835.53	715.96	16900.01	261.56	27552.04	0	1
146364	hCG2021009.1	6254.42	275.47	0.06	22.7	0	3.92	58	101	1260.27	1002.47	5349.24	224.78	14747.94	0	1
146368	hCG2025554	24804.38	368.26	0.04	67.36	0	15.53	8	135	1621.31	469.25	19217.13	223.33	27904.47	0	1
146370	hCG33981.2	952.59	436.66	0.46	2.18	0	0.65	132	29	497.3	517	896.04	181.81	11192.88	0	2
146373	hCG1988457	1697.81	180.25	0.11	9.42	0	1.06	11	89	1130.45	502.73	1472.81	198.57	9843.96	0	1
146376	hCG23904.3	370.26	370.26	1.15	0.87	1	0.25	168	110	1358.61	897.41	123.3	179.91	10357.43	0	2
146397	hCG2009772.1	9563.86	257.45	0.05	37.15	0	5.99	61	46	676.41	1036.91	11430.66	263.68	22396.65	0	1
146400	hCG21714.4	222.66	222.66	18.85	-0.05	1	0.15	212	79	1032.61	1366.94	-160.43	189.06	10656.59	0	2
146401	hCG2041248	250.76	250.76	2.45	0.41	1	0.17	190	62	850.66	1133.26	-19.72	181.07	10297.13	0	2
146406	hCG1817507.1	230.31	230.31	4.05	0.25	1	0.14	29	143	1707.29	691.84	-166.2	196.85	8200.02	0	1
146407	hCG1980890	8032.5	237.43	0.04	33.83	0	5.52	201	83	1073.53	1250.62	8862.36	188	18957.08	0	2
146408	hCG2041671	12787.9	360.18	0.05	35.5	0	8.01	97	68	912.71	1418.26	11093.77	262.85	22033.25	0	1
146428	hCG1812944.1	6499.13	2030.08	0.31	3.2	0	4.47	146	103	1285.07	663.21	7414.77	283.25	23750.98	0	2
146430	hCG31486.3	10698.55	411.07	0.05	26.03	0	7.36	213	17	372.41	1380.34	8708.88	174.05	17886.94	0	2
146435	hCG2008627.1	3485.24	351.72	0.11	9.91	0	2.4	183	31	519.58	1060.8	4110.45	191	14754.79	0	2
146438	hCG1811269.1	1387.48	126.31	0.1	10.98	0	0.87	49	22	419.34	909.84	1450.58	224.83	11023.88	0	1
146446	hCG21043.3	7330.97	190.42	0.05	38.5	0	4.59	91	105	1304.44	1352.26	7618.27	251.32	18155.11	0	1
146451	hCG1642727.3	517.9	279.02	0.54	1.86	0	0.36	187	85	1093.15	1100.28	429.62	176.18	10407.68	0	2
146465	hCG2020788	2580.14	2580.14	3.53	0.28	1	1.62	88	154	1825.32	1318.12	1077.56	311.2	14591.23	0	1
146467	hCG1641052.3	1235.29	292.13	0.24	4.23	0	0.85	191	19	391.58	1145.52	953.21	165.25	10199.7	0	2
146472	hCG21433.2	12046.29	218.02	0.04	55.25	0	8.28	147	5	243.31	678.44	13475.31	185.53	23044.88	0	2
146475	hCG1736748.2	27859.4	771.21	0.05	36.12	0	17.45	24	29	494.03	642.99	37647.64	341.71	51459.44	0	1
146482	hCG19041.3	2762.77	212.54	0.09	13	0	1.73	75	67	901.06	1184.15	2275.68	234.65	12262.07	0	1
146508	hCG1997310	7998.31	655.94	0.09	12.19	0	5.01	96	108	1336.69	1405.45	6459.92	249.6	16962.97	0	1
146510	hCG1811614.1	12076.15	268.98	0.04	44.9	64	8.3	169	88	1125.62	908.09	12238.02	215.78	23937.43	0	2
146511	hCG1723881.1	504.08	394.62	0.78	1.28	0	0.35	149	130	1571.85	694.29	327.35	188.37	11077.72	0	2
146512	hCG1812735.1	34240.56	454.19	0.04	75.39	0	23.54	197	91	1157.37	1206.58	26648.09	212.94	37145.35	0	2
146514	hCG15997.3	20661.34	810.63	0.05	25.49	0	14.21	212	88	1127.02	1366.95	18746.71	223.55	30537.49	0	2
146521	hCG20636.3	2223.55	299.06	0.14	7.44	0	1.53	203	123	1499.8	1269.48	2181.99	170.58	11668.44	0	2
146527	hCG30592.3	14395.75	2192.07	0.16	6.57	0	9.01	71	107	1324.13	1139.76	16873.73	407.11	34346.94	0	1
146532	hCG22346.2	11005.73	319.91	0.04	34.4	0	7.57	206	18	382.54	1305.74	10827.03	182.45	20398.17	0	2
146533	hCG2000992	26152.13	321.02	0.04	81.47	0	16.38	84	8	273.73	1282.43	27847.78	246.09	37279.95	0	1
