Probe_ID	Gene_ID	Signal_P/2a-2_OKhymenets_220905	SDEV_P/2a-2_OKhymenets_220905	CV_P/2a-2_OKhymenets_220905	S_N_P/2a-2_OKhymenets_220905	Flags_P/2a-2_OKhymenets_220905	Assay_Normalized_Signal_P/2a-2_OKhymenets_220905	Row_P/2a-2_OKhymenets_220905	Column_P/2a-2_OKhymenets_220905	X_P/2a-2_OKhymenets_220905	Y_P/2a-2_OKhymenets_220905	CL_Sig_P/2a-2_OKhymenets_220905	CL_Sig_Error_P/2a-2_OKhymenets_220905	CL_Raw_P/2a-2_OKhymenets_220905	CL_Raw_SDEV_P/2a-2_OKhymenets_220905	Image_Area_P/2a-2_OKhymenets_220905
139281	hCG2038534	149.52	149.52	4.63	-0.22	1	0.27	205	43	646.32	1281.45	-99.45	168.78	6151.56	0	2
139282	hCG2022854	255.23	255.23	4.59	-0.22	1	0.46	229	84	1083.78	1538.08	-45.98	159.89	5850	0	2
139289	hCG1803430.2	242.79	242.79	3.51	-0.29	1	0.44	226	48	699.67	1506.26	-91.35	153.66	5555.72	0	2
139295	hCG25498.3	18907.27	209.37	0.06	90.31	0	34.07	212	68	913.55	1357.04	19857.28	187.72	25890.62	0	2
139296	hCG1784143.3	121.28	121.28	0.71	-1.42	1	0.22	184	159	1878.3	1058.96	-233.41	132.91	4581.67	0	2
139299	hCG24100.3	319.72	319.72	0.53	-1.88	1	0.58	191	154	1827.45	1133.96	-588.21	173.42	5848.74	0	2
139301	hCG1643076.2	194678.8	2235.5	0.06	87.09	0	350.84	207	22	421.31	1303.74	222038.44	385.91	230742.43	0	2
139305	hCG1981953	25217.43	284.99	0.06	88.49	0	45.45	187	121	1475.78	1092.6	33177.52	211.04	39630.69	0	2
139312	hCG1746307.3	256.42	148.19	0.58	1.73	0	0.39	27	37	585.07	664.84	362.78	130.29	7034.64	0	1
139315	hCG40707.2	154.85	154.85	1.63	0.61	1	0.24	56	114	1401.73	973.1	72.87	128.22	6651.01	0	1
139326	hCG1811925.1	10065.42	227.59	0.05	44.23	0	15.29	72	90	1148.43	1144.83	10097.74	139	16336.31	0	1
